group,profile,run,project,duration_seconds,cpu_avg,mem_avg_gb,rx_bytes,tx_bytes,http_rps_avg,http_error_rps_avg,waiting_entries_created_delta,waiting_entries_waiting_avg,waiting_entries_completed_delta,worker_cycles_delta,reservation_holds_created_delta,reservation_completed_delta,reservation_holds_active_avg,reservation_stock_units_avg,docker_stats_sample_count,docker_stats_container_count,docker_stats_cpu_avg,docker_stats_mem_avg_gb,docker_stats_rx_bytes,docker_stats_tx_bytes,resource_source,resource_cpu_avg,resource_mem_avg_gb,resource_rx_bytes,resource_tx_bytes,errors
G1,contention,2,tcc-bes-g1-contention-run2,183.08363890647888,0.0,0.0,0.0,0.0,103.41883651947454,0.0,0.0,30.25,2660.0,145.0,0.0,0.0,0.0,110.76923076923077,45,7,0.49386444444444444,0.8005574838044445,40011240.0,43032300.0,docker-stats,0.49386444444444444,0.8005574838044445,40011240.0,43032300.0,{}
G1,contention,3,tcc-bes-g1-contention-run3,182.82016587257385,0.0,0.0,0.0,0.0,104.48839040718865,0.0,0.0,32.30769230769231,2945.0,148.0,0.0,0.0,0.0,110.76923076923077,45,7,0.4482022222222222,0.8075279510186666,40396100.0,43356790.0,docker-stats,0.4482022222222222,0.8075279510186666,40396100.0,43356790.0,{}
G1,spike,1,tcc-bes-g1-spike-run1,181.7168619632721,0.0,0.0,0.0,0.0,161.48848489124532,0.0,0.0,46.76923076923077,4214.0,141.0,0.0,123.0,0.3076923076923077,276.9230769230769,45,7,0.5562666666666667,0.7810812331804445,55339600.0,59791560.0,docker-stats,0.5562666666666667,0.7810812331804445,55339600.0,59791560.0,{}
G1,spike,2,tcc-bes-g1-spike-run2,181.74734687805176,0.0,0.0,0.0,0.0,161.44442622887092,0.0,0.0,46.53846153846154,4152.0,142.0,0.0,131.0,0.0,276.9230769230769,45,7,0.55758,0.7968972545137778,55238300.0,59710120.0,docker-stats,0.55758,0.7968972545137778,55238300.0,59710120.0,{}
G1,spike,3,tcc-bes-g1-spike-run3,182.27872490882874,0.0,0.0,0.0,0.0,156.68130958246994,0.0,0.0,47.0,4075.0,138.0,0.0,32.0,1.8461538461538463,276.9230769230769,44,7,0.6730522727272727,0.8028000330472728,53945640.0,58348490.0,docker-stats,0.6730522727272727,0.8028000330472728,53945640.0,58348490.0,{}
G1,steady,1,tcc-bes-g1-steady-run1,182.290687084198,0.0,0.0,0.0,0.0,67.08454891079329,0.0,0.0,4.846153846153846,1434.0,149.0,0.0,1431.0,4.461538461538462,4615.384615384615,45,7,0.6531533333333334,0.7987816620942222,34907240.0,36309790.0,docker-stats,0.6531533333333334,0.7987816620942222,34907240.0,36309790.0,{}
G1,steady,2,tcc-bes-g1-steady-run2,182.05303311347961,0.0,0.0,0.0,0.0,66.37458614961139,0.0,0.0,6.0,1412.0,148.0,0.0,1418.0,3.076923076923077,4615.384615384615,44,7,0.6884250000000001,0.7806748411345454,34366100.0,35767110.0,docker-stats,0.6884250000000001,0.7806748411345454,34366100.0,35767110.0,{}
G1,steady,3,tcc-bes-g1-steady-run3,182.30209708213806,0.0,0.0,0.0,0.0,67.86717557341036,0.0,0.0,5.3076923076923075,1445.0,151.0,0.0,1459.0,4.153846153846154,4615.307692307692,44,7,0.5905409090909091,0.7879705469672726,35157620.0,36708200.0,docker-stats,0.5905409090909091,0.7879705469672726,35157620.0,36708200.0,{}
G2,contention,1,tcc-bes-g2-contention-run1,183.96692991256714,0.0,0.0,0.0,0.0,109.06722346083943,0.0,0.0,25.76923076923077,2460.0,123.0,0.0,0.0,0.0,110.76923076923077,43,9,1.2520069767441862,1.1434987081823256,44610580.0,47464640.0,docker-stats,1.2520069767441862,1.1434987081823256,44610580.0,47464640.0,{}
G2,contention,2,tcc-bes-g2-contention-run2,184.95862197875977,0.0,0.0,0.0,0.0,114.47017398842975,0.0,0.0,30.153846153846153,2700.0,135.0,0.0,0.0,0.0,110.76923076923077,44,9,1.1908454545454545,1.1217289513890911,44538790.0,47402220.0,docker-stats,1.1908454545454545,1.1217289513890911,44538790.0,47402220.0,{}
